"scientificName","canonicalName","authorship","rank"
"Salmo Linnaeus, 1758","Salmo","Linnaeus, 1758","Genus"
"Salmo (Osmerus) Linnaeus, 1758","Salmo (Osmerus)","Linnaeus, 1758","Subgenus"
"Salmo eperlanus Linnaeus, 1758","Salmo eperlanus","Linnaeus, 1758","Species"
"Salmo abanticus Tortonese, 1954","Salmo abanticus","Tortonese, 1954","Species"
"Coregonus albula (Linnaeus, 1758)","Coregonus albula","(Linnaeus, 1758)","Species"
"Salmo trutta trutta Linnaeus, 1758","Salmo trutta trutta","Linnaeus, 1758","Subspecies"
"Salmo trutta trutta Linnaeus, 1758","Salmo trutta trutta","Linnaeus, 1758","Subspecies"
"Salvelinus alpinus alpinus (Linnaeus, 1758)","Salvelinus alpinus alpinus","(Linnaeus, 1758)","Subspecies"
"Salvelinus alpinus alpinus (Linnaeus, 1758)","Salvelinus alpinus alpinus","(Linnaeus, 1758)","Subspecies"
"Plecoglossus altivelis altivelis (Temminck & Schlegel, 1846)","Plecoglossus altivelis altivelis","(Temminck & Schlegel, 1846)","Subspecies"
"Piabucus dentatus (Koelreuter, 1763)","Piabucus dentatus","(Koelreuter, 1763)","Species"
"Coregonus artedi Lesueur, 1818","Coregonus artedi","Lesueur, 1818","Species"
"Salvelinus alpinus alpinus (Linnaeus, 1758)","Salvelinus alpinus alpinus","(Linnaeus, 1758)","Subspecies"
"Coregonus autumnalis (Pallas, 1776)","Coregonus autumnalis","(Pallas, 1776)","Species"
"Salvelinus malma malma (Walbaum, 1792)","Salvelinus malma malma","(Walbaum, 1792)","Subspecies"
"Salmo trutta trutta Linnaeus, 1758","Salmo trutta trutta","Linnaeus, 1758","Subspecies"
"Oncorhynchus clarkii clarkii (Richardson, 1836)","Oncorhynchus clarkii clarkii","(Richardson, 1836)","Subspecies"
"Salmo salar Linnaeus, 1758","Salmo salar","Linnaeus, 1758","Species"
"Salmo trutta trutta Linnaeus, 1758","Salmo trutta trutta","Linnaeus, 1758","Subspecies"
"Salmo salar Linnaeus, 1758","Salmo salar","Linnaeus, 1758","Species"
"Salmo trutta trutta Linnaeus, 1758","Salmo trutta trutta","Linnaeus, 1758","Subspecies"
"Salvelinus fontinalis (Mitchill, 1814)","Salvelinus fontinalis","(Mitchill, 1814)","Species"
"Oncorhynchus keta (Walbaum, 1792)","Oncorhynchus keta","(Walbaum, 1792)","Species"
"Salvelinus alpinus alpinus (Linnaeus, 1758)","Salvelinus alpinus alpinus","(Linnaeus, 1758)","Subspecies"
"Salmo caspius Kessler, 1877","Salmo caspius","Kessler, 1877","Species"
"Mallotus villosus (Müller, 1776)","Mallotus villosus","(Müller, 1776)","Species"
"Oncorhynchus clarkii clarkii (Richardson, 1836)","Oncorhynchus clarkii clarkii","(Richardson, 1836)","Subspecies"
"Oncorhynchus clarkii clarkii (Richardson, 1836)","Oncorhynchus clarkii clarkii","(Richardson, 1836)","Subspecies"
"Oncorhynchus clarkii clarkii (Richardson, 1836)","Oncorhynchus clarkii clarkii","(Richardson, 1836)","Subspecies"
"Oncorhynchus clarkii clarkii (Richardson, 1836)","Oncorhynchus clarkii clarkii","(Richardson, 1836)","Subspecies"
"Oncorhynchus clarkii clarkii (Richardson, 1836)","Oncorhynchus clarkii clarkii","(Richardson, 1836)","Subspecies"
"Oncorhynchus clarkii clarkii (Richardson, 1836)","Oncorhynchus clarkii clarkii","(Richardson, 1836)","Subspecies"
"Oncorhynchus clarkii clarkii (Richardson, 1836)","Oncorhynchus clarkii clarkii","(Richardson, 1836)","Subspecies"
"Coregonus clupeaformis (Mitchill, 1818)","Coregonus clupeaformis","(Mitchill, 1818)","Species"
"Salvelinus confluentus (Suckley, 1859)","Salvelinus confluentus","(Suckley, 1859)","Species"
"Oncorhynchus keta (Walbaum, 1792)","Oncorhynchus keta","(Walbaum, 1792)","Species"
"Oncorhynchus tshawytscha (Walbaum, 1792)","Oncorhynchus tshawytscha","(Walbaum, 1792)","Species"
"Salmo trutta trutta Linnaeus, 1758","Salmo trutta trutta","Linnaeus, 1758","Subspecies"
"Salmo coruhensis Turan, Kottelat & Engin, 2010","Salmo coruhensis","Turan, Kottelat & Engin, 2010","Species"
"Salmo trutta trutta Linnaeus, 1758","Salmo trutta trutta","Linnaeus, 1758","Subspecies"
"Prosopium cylindraceum (Pennant, 1784)","Prosopium cylindraceum","(Pennant, 1784)","Species"
"Coregonus peled (Gmelin, 1789)","Coregonus peled","(Gmelin, 1789)","Species"
"Oncorhynchus keta (Walbaum, 1792)","Oncorhynchus keta","(Walbaum, 1792)","Species"
"Osmerus eperlanus (Linnaeus, 1758)","Osmerus eperlanus","(Linnaeus, 1758)","Species"
"Osmerus eperlanus (Linnaeus, 1758)","Osmerus eperlanus","(Linnaeus, 1758)","Species"
"Salmo trutta trutta Linnaeus, 1758","Salmo trutta trutta","Linnaeus, 1758","Subspecies"
"Salmo trutta trutta Linnaeus, 1758","Salmo trutta trutta","Linnaeus, 1758","Subspecies"
"Salmo trutta fario Linnaeus, 1758","Salmo trutta fario","Linnaeus, 1758","Subspecies"
"Salmo fario Linnaeus, 1758","Salmo fario","Linnaeus, 1758","Species"
"Salmo labrax Pallas, 1814","Salmo labrax","Pallas, 1814","Species"
